"Statistic Label","Quarter","Size of Employees per Enterprise","Economic Sector NACE Rev 2","UNIT","VALUE"
"Average Hourly Earnings","2012Q2","Under 50","Information and communication (J)","Euro","23.56"
"Average Hourly Earnings","2012Q2","Under 50","Professional, scientific and technical activities (M)","Euro","23.07"
"Average Hourly Earnings","2012Q2","Under 50","Administrative and support service activities (N)","Euro","18.49"
"Average Hourly Earnings","2012Q2","Under 50","Public administration and defence; compulsory social security (O)","Euro","23.41"
"Average Hourly Earnings","2012Q2","Under 50","Education (P)","Euro","17.41"
"Average Hourly Earnings","2012Q2","Under 50","Human health and social work activities (Q)","Euro","17.04"
"Average Hourly Earnings","2012Q2","Under 50","Industry (B to E)","Euro","17.83"
"Average Hourly Earnings","2012Q2","Under 50","Financial, insurance and real estate activities (K,L)","Euro","26.12"
"Average Hourly Earnings","2012Q2","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.67"
"Average Hourly Earnings","2012Q2","50 - 250","All NACE economic sectors","Euro","19.91"
"Average Hourly Earnings","2012Q2","50 - 250","Construction (F)","Euro","23.74"
"Average Hourly Earnings","2012Q2","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","18.13"
"Average Hourly Earnings","2012Q2","50 - 250","Transportation and storage (H)","Euro","18.53"
"Average Hourly Earnings","2012Q2","50 - 250","Accommodation and food service activities (I)","Euro","12.66"
"Average Hourly Earnings","2012Q2","50 - 250","Information and communication (J)","Euro","27.5"
"Average Hourly Earnings","2012Q2","50 - 250","Professional, scientific and technical activities (M)","Euro","28.88"
"Average Hourly Earnings","2012Q2","50 - 250","Administrative and support service activities (N)","Euro","16.7"
"Average Hourly Earnings","2012Q2","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.35"
"Average Hourly Earnings","2012Q2","50 - 250","Education (P)","Euro","27.42"
"Average Hourly Earnings","2012Q2","50 - 250","Human health and social work activities (Q)","Euro","17.36"
"Average Hourly Earnings","2012Q2","50 - 250","Industry (B to E)","Euro","19.46"
"Average Hourly Earnings","2012Q2","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","30.99"
"Average Hourly Earnings","2012Q2","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.5"
"Average Hourly Earnings","2012Q2","Greater than 250","All NACE economic sectors","Euro","25.61"
"Average Hourly Earnings","2012Q2","Greater than 250","Construction (F)","Euro","24.51"
"Average Hourly Earnings","2012Q2","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.69"
"Average Hourly Earnings","2012Q2","Greater than 250","Transportation and storage (H)","Euro","22.22"
"Average Hourly Earnings","2012Q2","Greater than 250","Accommodation and food service activities (I)","Euro","13.12"
"Average Hourly Earnings","2012Q2","Greater than 250","Information and communication (J)","Euro","29.81"
"Average Hourly Earnings","2012Q2","Greater than 250","Professional, scientific and technical activities (M)","Euro","27.36"
"Average Hourly Earnings","2012Q2","Greater than 250","Administrative and support service activities (N)","Euro","14.5"
"Average Hourly Earnings","2012Q2","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","26.21"
"Average Hourly Earnings","2012Q2","Greater than 250","Education (P)","Euro","38.49"
"Average Hourly Earnings","2012Q2","Greater than 250","Human health and social work activities (Q)","Euro","25.93"
"Average Hourly Earnings","2012Q2","Greater than 250","Industry (B to E)","Euro","25.12"
"Average Hourly Earnings","2012Q2","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","29.11"
"Average Hourly Earnings","2012Q2","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.44"
"Average Hourly Earnings","2012Q3","Under 50","All NACE economic sectors","Euro","17.87"
"Average Hourly Earnings","2012Q3","Under 50","Construction (F)","Euro","19.51"
"Average Hourly Earnings","2012Q3","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.31"
"Average Hourly Earnings","2012Q3","Under 50","Transportation and storage (H)","Euro","19.66"
"Average Hourly Earnings","2012Q3","Under 50","Accommodation and food service activities (I)","Euro","11.68"
"Average Hourly Earnings","2012Q3","Under 50","Information and communication (J)","Euro","23.02"
"Average Hourly Earnings","2012Q3","Under 50","Professional, scientific and technical activities (M)","Euro","21.25"
"Average Hourly Earnings","2012Q3","Under 50","Administrative and support service activities (N)","Euro","19.37"
"Average Hourly Earnings","2012Q3","Under 50","Public administration and defence; compulsory social security (O)","Euro","23.09"
"Average Hourly Earnings","2012Q3","Under 50","Education (P)","Euro","20.7"
"Average Hourly Earnings","2012Q3","Under 50","Human health and social work activities (Q)","Euro","16.89"
"Average Hourly Earnings","2012Q3","Under 50","Industry (B to E)","Euro","18.03"
"Average Hourly Earnings","2012Q3","Under 50","Financial, insurance and real estate activities (K,L)","Euro","28.92"
"Average Hourly Earnings","2012Q3","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.1"
"Average Hourly Earnings","2012Q3","50 - 250","All NACE economic sectors","Euro","19.15"
"Average Hourly Earnings","2012Q3","50 - 250","Construction (F)","Euro","23.16"
"Average Hourly Earnings","2012Q3","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.32"
"Average Hourly Earnings","2012Q3","50 - 250","Transportation and storage (H)","Euro","18.67"
"Average Hourly Earnings","2012Q3","50 - 250","Accommodation and food service activities (I)","Euro","12.62"
"Average Hourly Earnings","2012Q3","50 - 250","Information and communication (J)","Euro","26.21"
"Average Hourly Earnings","2012Q3","50 - 250","Professional, scientific and technical activities (M)","Euro","28.58"
"Average Hourly Earnings","2012Q3","50 - 250","Administrative and support service activities (N)","Euro","16.84"
"Average Hourly Earnings","2012Q3","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.06"
"Average Hourly Earnings","2012Q3","50 - 250","Education (P)","Euro","20.43"
"Average Hourly Earnings","2012Q3","50 - 250","Human health and social work activities (Q)","Euro","17.35"
"Average Hourly Earnings","2012Q3","50 - 250","Industry (B to E)","Euro","19.14"
"Average Hourly Earnings","2012Q3","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","28.03"
"Average Hourly Earnings","2012Q3","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.05"
"Average Hourly Earnings","2012Q3","Greater than 250","All NACE economic sectors","Euro","25.37"
"Average Hourly Earnings","2012Q3","Greater than 250","Construction (F)","Euro","25.32"
"Average Hourly Earnings","2012Q3","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.29"
"Average Hourly Earnings","2012Q3","Greater than 250","Transportation and storage (H)","Euro","21.89"
"Average Hourly Earnings","2012Q3","Greater than 250","Accommodation and food service activities (I)","Euro","13.36"
"Average Hourly Earnings","2012Q3","Greater than 250","Information and communication (J)","Euro","30.2"
"Average Hourly Earnings","2012Q3","Greater than 250","Professional, scientific and technical activities (M)","Euro","28.45"
"Average Hourly Earnings","2012Q3","Greater than 250","Administrative and support service activities (N)","Euro","13.83"
"Average Hourly Earnings","2012Q3","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.83"
"Average Hourly Earnings","2012Q3","Greater than 250","Education (P)","Euro","40.59"
"Average Hourly Earnings","2012Q3","Greater than 250","Human health and social work activities (Q)","Euro","25.74"
"Average Hourly Earnings","2012Q3","Greater than 250","Industry (B to E)","Euro","24.49"
"Average Hourly Earnings","2012Q3","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.15"
"Average Hourly Earnings","2012Q3","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","17.17"
"Average Hourly Earnings","2012Q4","Under 50","All NACE economic sectors","Euro","17.96"
"Average Hourly Earnings","2012Q4","Under 50","Construction (F)","Euro","18.13"
"Average Hourly Earnings","2012Q4","Under 50","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.7"
"Average Hourly Earnings","2012Q4","Under 50","Transportation and storage (H)","Euro","17.22"
"Average Hourly Earnings","2012Q4","Under 50","Accommodation and food service activities (I)","Euro","11.94"
"Average Hourly Earnings","2012Q4","Under 50","Information and communication (J)","Euro","25.83"
"Average Hourly Earnings","2012Q4","Under 50","Professional, scientific and technical activities (M)","Euro","22.37"
"Average Hourly Earnings","2012Q4","Under 50","Administrative and support service activities (N)","Euro","18.3"
"Average Hourly Earnings","2012Q4","Under 50","Public administration and defence; compulsory social security (O)","Euro","22.51"
"Average Hourly Earnings","2012Q4","Under 50","Education (P)","Euro","19.26"
"Average Hourly Earnings","2012Q4","Under 50","Human health and social work activities (Q)","Euro","17.49"
"Average Hourly Earnings","2012Q4","Under 50","Industry (B to E)","Euro","17.6"
"Average Hourly Earnings","2012Q4","Under 50","Financial, insurance and real estate activities (K,L)","Euro","28.49"
"Average Hourly Earnings","2012Q4","Under 50","Arts, entertainment, recreation and other service activities (R,S)","Euro","15.4"
"Average Hourly Earnings","2012Q4","50 - 250","All NACE economic sectors","Euro","20.04"
"Average Hourly Earnings","2012Q4","50 - 250","Construction (F)","Euro","24.38"
"Average Hourly Earnings","2012Q4","50 - 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","17.91"
"Average Hourly Earnings","2012Q4","50 - 250","Transportation and storage (H)","Euro","19.13"
"Average Hourly Earnings","2012Q4","50 - 250","Accommodation and food service activities (I)","Euro","12.84"
"Average Hourly Earnings","2012Q4","50 - 250","Information and communication (J)","Euro","26.86"
"Average Hourly Earnings","2012Q4","50 - 250","Professional, scientific and technical activities (M)","Euro","29.44"
"Average Hourly Earnings","2012Q4","50 - 250","Administrative and support service activities (N)","Euro","18.44"
"Average Hourly Earnings","2012Q4","50 - 250","Public administration and defence; compulsory social security (O)","Euro","31.57"
"Average Hourly Earnings","2012Q4","50 - 250","Education (P)","Euro","28.36"
"Average Hourly Earnings","2012Q4","50 - 250","Human health and social work activities (Q)","Euro","17.83"
"Average Hourly Earnings","2012Q4","50 - 250","Industry (B to E)","Euro","20.11"
"Average Hourly Earnings","2012Q4","50 - 250","Financial, insurance and real estate activities (K,L)","Euro","28.06"
"Average Hourly Earnings","2012Q4","50 - 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.26"
"Average Hourly Earnings","2012Q4","Greater than 250","All NACE economic sectors","Euro","25.53"
"Average Hourly Earnings","2012Q4","Greater than 250","Construction (F)","Euro","26.04"
"Average Hourly Earnings","2012Q4","Greater than 250","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","16.8"
"Average Hourly Earnings","2012Q4","Greater than 250","Transportation and storage (H)","Euro","22.4"
"Average Hourly Earnings","2012Q4","Greater than 250","Accommodation and food service activities (I)","Euro","13.53"
"Average Hourly Earnings","2012Q4","Greater than 250","Information and communication (J)","Euro","29.16"
"Average Hourly Earnings","2012Q4","Greater than 250","Professional, scientific and technical activities (M)","Euro","27.73"
"Average Hourly Earnings","2012Q4","Greater than 250","Administrative and support service activities (N)","Euro","14.51"
"Average Hourly Earnings","2012Q4","Greater than 250","Public administration and defence; compulsory social security (O)","Euro","25.99"
"Average Hourly Earnings","2012Q4","Greater than 250","Education (P)","Euro","39.11"
"Average Hourly Earnings","2012Q4","Greater than 250","Human health and social work activities (Q)","Euro","25.79"
"Average Hourly Earnings","2012Q4","Greater than 250","Industry (B to E)","Euro","24.9"
"Average Hourly Earnings","2012Q4","Greater than 250","Financial, insurance and real estate activities (K,L)","Euro","28.62"
"Average Hourly Earnings","2012Q4","Greater than 250","Arts, entertainment, recreation and other service activities (R,S)","Euro","18.21"
